,R Elbow,L Elbow,R Shoulder,L Shoulder,Body Twist,R Knee,L Knee
103,127.09,82.15,74.44,41.29,-10.84,163.86,149.97
104,130.05,80.89,73.95,47.11,-7.69,163.54,151.4
105,129.06,79.76,73.89,53.48,-4.61,163.55,153.1
106,127.6,78.63,74.49,59.65,-1.92,163.96,154.71
107,128.03,77.36,76.86,67.23,1.69,164.36,156.56
108,127.51,76.05,80.14,75.13,4.97,164.69,158.11
109,127.26,74.08,84.12,83.76,8.33,164.06,159.48
110,125.7,71.83,87.73,92.19,11.25,163.53,160.87
111,123.89,69.51,90.69,98.66,13.14,162.15,162.19
112,121.52,67.31,93.37,103.98,13.73,159.66,163.51
113,117.63,65.47,95.62,108.69,13.42,156.42,164.47
114,113.41,63.85,97.8,112.25,12.67,152.73,165.5
115,109.4,62.56,99.42,115.14,11.73,148.99,165.91
116,106.06,61.68,100.49,117.67,10.62,145.23,165.31
117,102.45,60.95,100.84,119.45,9.48,142.46,164.91
118,100.04,60.21,100.72,121.05,9.07,138.16,164.56
119,98.51,59.72,101.06,122.22,8.79,136.76,160.35
120,96.78,59.36,101.66,122.88,8.76,133.66,159.47
121,97.6,59.05,102.55,122.96,9.1,130.9,159.17
122,99.22,58.84,103.79,122.85,9.08,129.88,159.18
123,101.04,58.68,104.86,122.64,8.79,130.16,159.64
124,103.27,58.59,105.77,122.38,8.57,131.22,160.5
125,104.89,58.61,105.7,122.0,8.66,133.78,161.3
126,106.2,58.68,105.96,121.83,8.44,136.6,162.4
127,106.0,58.71,106.73,121.76,8.57,138.89,163.46
128,105.58,58.7,107.58,121.72,8.91,141.56,164.0
129,105.65,58.7,107.8,121.47,8.91,143.05,166.23
130,106.41,58.64,108.01,121.08,8.78,143.97,167.78
131,108.19,18.75,108.33,120.7,8.6,146.03,168.03
132,110.59,18.09,108.82,120.31,8.29,147.84,168.19
